Leetcode_completed,Project_1_score,Project_2_score,Project_3_score,Total_full_stack_projects,Years_of_experience,No_of_certifications,CGPA,Non_IT_student,Communication_Level,Salary
320,1.45,3.27,0.03,2,1.0,2,5.94,0,expert,764609
237,7.25,1.65,0.09,4,1.0,2,7.45,0,expert,844427
232,1.91,1.81,8.09,10,1.5,4,8.99,1,expert,1201431
261,3.38,7.91,2.59,1,1.5,5,7.84,0,fluent,954123
77,3.09,3.85,6.36,0,1.5,2,9.47,1,fluent,740270
304,9.47,4.36,4.54,0,1.5,4,8.18,0,exceptional,1092284
241,9.67,5.94,8.63,10,0.5,2,8.45,0,beginner,1339156
276,1.83,5.9,9.17,3,1.0,4,8.34,0,expert,1094281
212,0.22,0.67,9.97,9,1.0,2,7.25,1,expert,1020679
65,7.2,8.32,1.54,1,1.0,1,8.45,1,beginner,757597
181,4.18,1.77,8.63,0,1.0,4,5.35,1,beginner,734480
39,0.89,7.23,2.66,5,1.5,1,9.3,1,exceptional,818463
325,6.84,7.73,5.91,3,0.5,1,8.89,0,beginner,1141402
89,5.45,7.15,5.06,9,1.0,1,6.23,0,expert,985993
33,9.81,5.79,0.18,6,2.0,1,8.84,0,exceptional,983500
153,2.27,0.15,9.33,10,0.5,0,5.06,0,fluent,871032
160,4.04,3.6,0.78,5,2.0,5,6.09,0,exceptional,879193
87,5.43,6.05,6.88,4,0.5,3,5.33,1,exceptional,819597
163,7.92,3.87,7.85,9,0.5,0,8.9,1,exceptional,1162484
105,5.49,8.63,7.95,1,0.5,2,8.78,0,beginner,940433
187,6.13,3.09,1.35,4,2.0,2,9.07,0,expert,1003707
313,2.26,2.94,4.48,8,1.0,5,5.02,0,beginner,1029645
285,8.47,2.66,8.29,8,1.0,3,7.51,0,expert,1248942
255,4.29,3.33,3.03,1,2.0,3,8.52,1,beginner,934255
65,1.41,5.57,4.68,6,1.0,3,5.78,0,exceptional,789350
52,6.64,7.07,2.73,9,1.5,1,8.25,0,expert,1010839
159,2.16,6.63,4.64,3,1.0,0,5.42,0,beginner,741924
225,0.98,8.08,8.88,2,1.5,2,5.91,0,exceptional,928285
292,8.62,8.86,4.55,10,1.5,0,7.38,1,fluent,1331928
57,4.6,8.16,5.56,0,1.5,0,8.27,0,beginner,808444
72,7.49,0.19,4.04,2,2.0,0,5.73,1,beginner,652862
86,2.91,7.36,4.6,10,1.0,3,5.93,1,fluent,975173
240,7.87,2.08,0.15,8,1.0,5,6.02,0,beginner,974396
317,1.12,1.33,2.84,8,2.0,5,6.19,0,fluent,1036990
123,3.56,6.38,4.37,6,2.0,3,6.13,0,expert,949748
196,9.78,3.2,6.34,2,1.0,2,6.98,0,fluent,941321
238,7.94,0.57,4.5,2,2.0,2,8.27,0,exceptional,996779
59,4.97,1.38,3.38,3,2.0,2,7.19,1,fluent,717628
251,3.4,0.01,3.88,6,1.5,5,8.88,1,expert,1038025
125,8.72,9.03,2.42,6,2.0,5,8.6,1,fluent,1132703
155,5.45,0.25,9.24,1,1.5,0,5.63,1,fluent,755808
281,7.58,2.09,5.22,4,0.5,3,5.24,1,expert,934303
29,7.54,4.16,0.13,6,1.5,1,9.39,0,beginner,1293973
242,0.18,3.57,0.19,6,1.5,0,5.4,0,beginner,735847
279,1.26,9.12,9.73,5,2.0,4,5.74,1,exceptional,1165312
307,6.6,0.4,2.21,9,1.0,5,5.11,0,exceptional,1034835
231,1.62,5.12,8.06,9,0.5,0,8.14,0,fluent,1110496
39,2.55,6.8,0.58,7,0.5,3,7.91,1,beginner,787710
66,9.47,9.32,9.21,2,0.5,4,9.93,1,beginner,1107892
203,5.6,6.2,8.74,0,1.0,0,9.43,1,fluent,1005737
87,7.51,8.04,5.71,2,0.5,3,7.05,0,expert,886918
255,5.58,0.84,0.09,10,0.5,3,6.86,1,beginner,921942
265,5.53,3.86,2.58,1,1.0,5,6.48,1,exceptional,890357
76,0.94,3.74,4.07,1,0.5,1,5.76,0,fluent,529751
120,3.44,8.86,4.6,1,2.0,0,5.69,0,expert,810591
246,2.82,1.51,2.98,4,2.0,3,5.66,1,exceptional,866030
255,3.91,1.52,0.33,0,1.5,2,5.57,0,beginner,650919
261,7.98,3.29,5.9,9,1.5,3,6.2,1,expert,1174269
167,3.72,0.54,5.24,3,1.5,1,6.53,0,exceptional,792527
195,4.52,1.82,2.83,9,2.0,3,9.81,1,fluent,1060518
53,3.97,9.65,0.38,4,2.0,5,7.89,0,expert,906459
60,0.93,4.28,9.95,1,2.0,0,9.94,0,expert,870171
37,4.41,6.32,4.82,4,1.5,5,6.86,0,fluent,840824
184,1.96,7.26,7.56,9,1.5,0,7.29,1,beginner,1068194
211,1.87,3.67,4.52,3,1.5,4,6.62,1,beginner,839219
267,0.94,1.47,0.43,7,1.5,0,5.91,1,expert,825202
110,3.57,2.07,3.1,0,1.5,4,5.72,0,expert,629212
308,7.57,3.13,3.2,4,1.5,5,9.73,0,expert,1175826
90,2.76,6.36,8.38,10,2.0,2,9.93,0,exceptional,1244236
194,3.12,3.98,6.54,9,1.0,1,5.22,1,expert,984243
69,6.43,0.07,2.75,0,1.0,2,5.75,0,beginner,504252
86,1.96,5.23,9.68,9,1.5,4,7.12,1,fluent,1100325
158,8.97,9.22,3.22,9,1.0,3,5.93,1,fluent,1116084
308,5.2,8.12,9.98,3,1.0,3,6.82,1,fluent,1176471
52,4.48,8.25,9.96,7,2.0,2,5.65,1,expert,1028946
132,5.58,7.95,1.91,0,1.5,3,7.28,1,expert,790741
68,1.66,3.24,3.13,10,1.5,4,6.36,0,fluent,858636
310,6.13,7.65,4.86,1,1.0,5,6.76,0,exceptional,1069559
152,3.63,1.43,6.64,0,1.5,1,5.47,0,exceptional,636406
255,8.97,6.58,5.28,10,1.5,0,7.14,0,exceptional,1298328
214,1.69,6.42,9.69,6,1.5,4,9.92,0,exceptional,1195910
249,5.07,0.26,7.24,1,1.5,4,6.64,0,beginner,870822
307,5.98,7.88,2.12,0,1.0,0,9.38,1,fluent,972342
145,0.33,9.03,1.05,5,0.5,0,9.22,0,beginner,849668
140,3.64,2.67,6.88,5,1.0,1,9.76,1,expert,910591
257,7.33,8.12,1.58,9,2.0,1,8.95,1,exceptional,1247138
283,8.2,0.82,7.88,1,0.5,1,8.3,1,exceptional,965446
222,3.13,6.0,3.11,0,0.5,3,9.28,1,fluent,858963
161,7.99,4.86,3.27,9,0.5,4,5.38,1,exceptional,1011006
342,9.68,5.46,0.11,2,1.0,5,7.31,0,fluent,1085585
189,8.57,9.26,7.01,9,2.0,0,9.95,0,expert,1390536
249,1.18,8.71,1.13,4,1.0,4,8.85,0,exceptional,1015569
331,7.4,7.85,7.73,5,2.0,4,9.81,1,exceptional,1404345
258,3.2,2.74,4.92,2,1.0,1,8.9,0,beginner,890103
196,9.88,9.12,7.84,8,1.0,1,9.37,0,fluent,1339141
176,4.85,0.98,5.84,10,1.0,4,8.53,1,fluent,1048480
339,1.22,8.53,0.82,4,0.5,1,8.8,1,exceptional,997165
184,7.25,3.28,7.66,1,1.0,3,7.62,0,beginner,924254
120,3.23,0.54,0.7,9,2.0,0,9.62,1,exceptional,924873
257,9.97,6.69,4.79,5,2.0,4,9.13,1,fluent,1275894
204,9.8,2.31,1.72,7,2.0,0,9.22,1,fluent,1076281
137,6.56,2.44,7.52,10,0.5,3,8.37,0,exceptional,1094405
342,1.3,3.06,9.12,5,1.0,1,6.52,1,expert,985773
76,6.87,0.64,5.54,3,1.0,2,5.18,1,exceptional,676642
292,0.93,1.77,5.27,5,1.5,3,9.68,1,beginner,1060204
319,0.29,0.05,7.64,7,0.5,2,7.93,1,fluent,995101
137,8.23,4.45,0.05,7,2.0,0,6.49,1,fluent,919769
125,2.1,0.84,9.18,9,2.0,4,5.75,0,exceptional,967585
137,3.79,6.83,1.97,1,1.0,1,9.15,0,expert,817805
105,9.73,2.36,9.84,7,2.0,3,9.18,1,fluent,1175866
211,3.37,9.44,7.36,5,1.0,1,9.07,1,exceptional,1123958
137,2.96,8.71,7.74,1,1.0,2,8.23,0,expert,936366
26,9.18,2.89,6.56,0,1.5,2,6.83,0,exceptional,749629
154,1.11,7.83,4.72,5,0.5,5,6.52,1,exceptional,868577
244,7.6,8.03,5.72,6,1.0,4,5.04,1,exceptional,1112524
78,9.88,9.87,0.46,9,1.0,2,9.17,0,fluent,1121427
248,9.01,5.98,6.24,4,1.0,4,5.44,1,expert,1031686
249,6.52,0.82,6.26,9,1.5,5,8.15,1,beginner,1161637
150,3.14,6.47,8.91,7,1.0,3,7.52,0,beginner,1097674
154,2.54,6.25,5.06,10,0.5,5,7.63,0,fluent,1100085
77,8.19,6.38,0.77,8,0.5,4,9.63,0,fluent,995286
196,8.8,3.07,3.06,3,2.0,2,5.16,0,exceptional,885842
242,5.25,8.6,6.56,6,0.5,0,8.87,1,exceptional,1153475
184,2.44,9.59,2.39,7,2.0,4,5.26,1,expert,990950
222,1.13,2.18,2.81,5,0.5,1,5.19,1,exceptional,696020
271,0.87,0.88,8.2,1,2.0,0,7.15,1,expert,852079
348,7.19,1.95,5.84,6,1.0,4,5.32,0,exceptional,1127319
227,4.2,8.21,5.09,8,1.5,1,8.95,0,exceptional,1238777
208,9.05,6.77,3.18,4,1.5,5,7.65,1,beginner,1089881
147,7.4,6.36,7.31,1,1.5,0,5.15,1,fluent,833474
279,1.91,4.02,2.88,3,1.0,4,5.2,1,expert,808496
318,6.14,5.78,7.37,2,1.5,3,8.06,0,beginner,1101550
304,4.36,3.08,0.7,3,0.5,5,9.03,0,exceptional,950096
349,5.77,4.77,8.65,9,2.0,1,7.19,0,beginner,1306088
122,7.38,7.93,5.0,6,1.0,3,7.77,1,expert,1050646
222,8.06,9.81,4.39,9,1.5,2,9.0,1,fluent,1294406
264,8.44,9.32,6.11,7,0.5,5,8.05,1,beginner,1260455
168,2.54,9.34,6.24,0,0.5,5,6.12,0,expert,828807
121,0.31,4.02,1.32,7,1.0,4,8.07,1,exceptional,855183
225,7.39,4.69,7.56,4,1.0,4,8.14,0,beginner,1108473
148,1.06,7.06,2.76,6,1.5,1,8.67,1,fluent,1500000
211,3.15,9.22,9.05,10,2.0,5,8.1,1,expert,1365073
350,0.04,1.42,8.18,10,1.5,4,9.85,0,fluent,1274034
283,6.82,3.04,3.46,0,1.5,2,5.99,0,exceptional,846580
172,1.67,1.39,8.08,1,1.0,4,9.76,1,fluent,831852
276,6.55,6.12,3.56,0,1.5,5,7.69,0,exceptional,1029080
171,9.92,3.06,1.01,4,1.5,0,8.36,0,exceptional,940432
172,0.73,3.26,9.62,5,2.0,3,5.5,0,beginner,894278
223,0.77,0.71,6.53,9,0.5,5,6.9,0,exceptional,1008955
332,3.4,3.5,4.56,8,0.5,2,8.85,0,fluent,1126490
152,8.66,8.62,3.98,7,2.0,5,8.53,1,beginner,1225606
63,2.16,2.33,3.25,6,0.5,2,5.2,1,exceptional,671528
153,3.6,6.95,9.81,4,1.5,5,7.73,1,expert,1059248
291,0.69,6.3,1.35,2,2.0,3,5.44,1,expert,800535
175,7.63,8.63,3.15,8,2.0,3,9.98,0,exceptional,1271253
322,4.08,1.32,4.85,4,1.0,2,9.49,1,beginner,1036289
123,7.59,9.78,4.78,2,0.5,5,5.11,0,beginner,904882
287,9.04,5.83,4.71,2,1.0,3,9.29,1,beginner,1156691
276,2.33,9.95,1.76,2,1.5,1,9.6,1,fluent,1039882
168,8.07,9.12,1.45,5,2.0,5,6.77,0,expert,1103345
136,0.59,2.22,2.55,0,1.5,3,8.6,1,exceptional,1194803
84,8.99,0.56,9.15,10,0.5,0,7.21,1,exceptional,1038058
26,6.51,2.56,1.13,3,1.0,0,8.28,1,expert,666908
328,8.74,5.28,7.57,7,0.5,1,6.7,1,fluent,1185392
278,0.0,1.72,7.58,2,1.5,3,6.61,1,beginner,873696
164,1.69,1.67,8.1,4,1.0,0,7.12,1,expert,827593
61,3.9,4.63,8.87,1,0.5,5,5.73,1,exceptional,718753
184,3.8,0.33,2.63,1,1.5,4,9.16,0,fluent,816335
33,2.27,1.22,2.25,10,0.5,3,6.74,1,exceptional,781835
257,3.82,4.16,4.66,6,2.0,1,7.0,1,beginner,1016093
123,1.29,0.63,2.65,9,1.0,3,9.47,1,expert,901912
171,4.13,3.97,7.34,2,1.0,2,7.48,1,beginner,878135
328,8.02,4.74,6.36,4,1.0,2,7.72,1,fluent,1150588
232,4.79,4.51,8.75,2,2.0,0,9.78,1,expert,1070912
155,0.18,8.69,0.83,5,1.0,2,9.43,0,beginner,871567
176,4.21,5.3,9.15,9,2.0,1,5.85,1,beginner,1028663
78,0.27,4.68,2.93,2,1.0,0,7.37,1,beginner,623209
144,9.66,4.11,4.91,7,0.5,1,9.86,0,fluent,1083714
185,1.27,8.18,4.39,1,0.5,5,6.86,0,beginner,827987
140,7.08,8.95,7.6,2,0.5,1,6.86,1,exceptional,924628
99,9.73,8.53,4.2,7,0.5,2,5.98,1,expert,999228
137,8.26,6.74,9.44,7,2.0,5,5.57,1,expert,1177754
128,6.99,1.37,9.03,0,1.5,2,8.7,0,beginner,843648
278,8.39,2.77,8.72,7,1.5,1,8.85,0,fluent,1279488
251,9.82,0.46,0.71,9,0.5,2,9.85,1,exceptional,1132549
136,6.21,9.31,8.54,1,1.5,2,8.87,1,exceptional,1068572
123,5.59,6.61,7.82,6,1.5,2,6.22,0,expert,1039099
177,6.28,7.46,1.04,5,1.0,3,5.2,0,expert,899250
218,5.33,3.12,1.07,1,2.0,5,9.93,0,exceptional,973195
334,6.35,8.46,1.01,4,0.5,5,6.7,0,expert,1126357
187,4.5,2.6,0.11,6,1.5,5,6.56,1,beginner,853036
232,2.18,0.02,5.49,7,1.5,1,9.53,0,exceptional,1030761
193,1.2,3.76,9.73,2,0.5,4,7.93,0,expert,903510
185,0.68,5.71,4.39,0,1.0,1,6.07,1,beginner,624109
92,2.63,4.79,5.41,6,0.5,5,9.45,0,beginner,915938
313,0.46,8.62,9.68,4,1.0,0,9.97,1,exceptional,1189540
301,5.67,1.05,2.55,4,1.5,2,5.43,0,beginner,847965
328,2.84,5.54,8.58,6,2.0,2,9.31,1,exceptional,1283415
159,8.25,5.13,5.46,0,1.0,4,6.95,0,beginner,880183
219,0.74,2.81,5.69,7,1.0,0,7.62,1,exceptional,917300
152,2.26,8.22,3.43,9,0.5,3,9.57,1,exceptional,1105804
57,7.3,7.53,5.62,4,1.5,1,9.87,0,exceptional,1022406
200,5.99,7.33,0.73,7,2.0,3,6.31,1,exceptional,1090675
46,0.64,8.76,7.65,9,0.5,0,6.06,1,beginner,884857
262,8.77,7.23,2.85,9,0.5,4,5.4,0,exceptional,1160373
182,8.77,2.32,8.88,4,2.0,0,7.81,1,expert,1059911
62,3.3,7.06,3.68,6,1.5,4,5.07,1,beginner,767017
254,3.4,3.08,1.43,9,2.0,3,7.06,0,exceptional,1065252
75,9.89,2.42,6.96,2,0.5,3,5.37,0,beginner,738504
288,6.26,0.73,1.65,1,0.5,0,7.03,1,beginner,748006
307,5.31,7.44,7.54,5,1.0,0,5.2,1,beginner,1023458
51,8.38,7.11,9.68,4,2.0,2,9.18,1,beginner,1123684
250,2.85,2.34,7.8,8,2.0,4,6.05,1,exceptional,1098952
301,4.29,7.49,0.22,9,2.0,2,6.64,1,beginner,1106532
310,2.68,9.18,6.0,3,0.5,1,9.35,0,expert,1119412
121,7.89,1.08,6.95,10,1.5,1,8.73,1,beginner,1111943
308,5.73,2.33,8.25,2,0.5,0,6.1,0,beginner,911657
341,6.59,7.5,0.56,8,1.0,3,5.36,0,expert,1133539
328,2.52,2.75,4.8,7,0.5,1,8.58,0,exceptional,1099495
171,2.2,6.25,5.35,5,0.5,1,6.95,0,expert,890675
28,4.88,0.81,1.69,0,0.5,2,8.83,1,fluent,555718
59,7.38,4.52,3.22,9,1.0,2,7.23,1,expert,940957
216,5.25,7.39,4.4,10,2.0,1,6.73,1,exceptional,1179707
73,0.33,6.87,8.33,0,1.5,0,7.26,0,expert,711829
41,8.69,8.15,9.29,5,1.5,2,8.74,0,beginner,1086944
196,0.65,8.77,6.28,2,1.0,1,9.51,1,exceptional,972244
244,9.56,7.73,3.95,2,2.0,3,5.25,0,fluent,1025733
182,0.25,6.72,2.54,5,2.0,2,7.62,1,exceptional,947516
70,6.94,0.32,9.82,2,1.0,1,5.16,0,beginner,681075
30,0.82,5.35,9.83,10,0.5,4,7.34,0,fluent,953449
123,9.11,0.38,9.25,9,2.0,2,9.43,0,exceptional,1240252
257,4.64,8.08,7.86,5,1.5,4,6.81,0,exceptional,1182020
61,1.38,3.21,3.26,4,1.0,2,9.66,0,beginner,736022
304,3.41,5.62,8.17,3,1.5,2,8.15,0,expert,1132312
326,1.65,2.79,4.09,7,0.5,5,9.67,0,expert,1134368
205,1.71,7.83,3.27,1,1.0,5,8.79,1,fluent,936123
119,9.48,8.87,7.45,10,1.5,4,5.52,1,beginner,1185247
123,4.45,3.99,0.8,6,1.5,0,6.16,0,beginner,742711
212,7.89,8.63,0.49,3,0.5,1,6.97,0,expert,920784
140,6.4,2.67,4.48,1,1.0,0,5.85,1,expert,710694
215,6.76,5.35,4.46,6,2.0,0,7.47,0,fluent,1051073
277,1.32,8.59,8.96,0,2.0,5,7.36,1,expert,1071537
185,2.34,3.26,1.26,3,1.5,1,9.78,1,fluent,811378
280,7.87,9.54,1.23,8,0.5,5,7.17,1,exceptional,1240520
347,9.71,1.22,1.47,3,1.5,5,8.93,1,fluent,1106686
152,2.63,0.18,0.3,2,0.5,5,9.71,1,fluent,722245
42,2.72,9.04,0.72,9,2.0,3,9.38,0,fluent,1037346
305,4.73,0.69,6.6,9,1.5,0,6.04,0,exceptional,1054592
247,9.84,9.92,4.32,1,1.5,0,7.48,1,expert,1076780
78,2.69,9.51,7.64,2,0.5,0,6.74,0,fluent,773026
82,4.07,1.37,9.93,0,1.0,3,7.0,1,expert,731098
347,8.91,5.38,6.59,9,0.5,2,6.8,0,fluent,1273395
198,0.03,1.85,0.5,7,1.0,4,9.13,0,expert,877790
304,0.4,4.28,1.05,0,2.0,4,7.26,0,fluent,844889
138,6.04,0.61,8.81,2,1.5,3,7.62,0,expert,912985
312,9.07,2.24,5.27,2,1.5,0,9.91,0,beginner,1083431
175,2.39,3.63,8.25,1,0.5,4,5.3,0,exceptional,798078
151,4.7,4.39,8.57,4,0.5,3,7.44,0,fluent,886433
179,4.5,9.77,9.28,9,2.0,5,8.87,0,exceptional,1398394
297,4.73,8.08,9.5,2,2.0,1,5.76,1,fluent,1052438
128,6.23,7.37,5.55,2,1.0,4,8.06,1,beginner,937488
323,4.7,5.37,3.41,7,2.0,1,6.2,0,beginner,1089112
270,4.47,8.4,9.62,3,2.0,0,9.34,0,exceptional,1214998
200,4.74,3.39,5.47,3,2.0,4,6.64,0,fluent,919320
63,5.91,7.09,0.64,2,2.0,3,6.65,1,expert,745846
194,5.37,9.94,6.43,10,1.0,2,7.99,0,fluent,1260730
271,8.54,3.15,5.88,0,2.0,4,5.92,0,expert,993250
50,0.49,6.74,8.96,7,1.0,4,6.42,1,exceptional,947485
330,8.33,8.44,6.53,0,0.5,4,7.08,1,exceptional,1108672
37,8.44,9.16,3.49,6,1.5,4,6.77,1,beginner,975343
340,2.85,7.18,9.66,4,0.5,3,7.62,0,expert,1197254
337,4.63,2.84,8.02,3,2.0,3,8.0,1,fluent,1119902
60,4.39,3.26,6.3,3,1.5,2,7.83,0,beginner,774919
197,2.19,0.21,2.93,7,2.0,3,8.27,1,exceptional,984294
44,3.97,7.61,3.74,10,2.0,3,6.54,0,beginner,987142
345,0.44,0.43,6.7,10,0.5,0,5.63,0,fluent,994702
288,2.78,8.65,0.72,5,2.0,0,8.8,0,fluent,1040707
166,8.17,1.19,2.57,0,0.5,1,9.25,1,exceptional,768084
167,2.85,1.72,7.14,9,2.0,2,6.29,0,beginner,1024473
116,8.18,4.77,4.8,7,1.0,0,7.04,0,expert,976715
346,5.32,7.38,4.02,1,1.5,2,7.49,0,expert,1064578
312,8.8,1.39,1.51,5,0.5,2,7.67,1,expert,1028915
239,5.75,4.4,4.42,8,0.5,4,8.3,0,fluent,1091781
75,0.3,4.83,7.71,0,1.5,5,5.21,0,beginner,632503
177,6.75,2.12,2.64,5,0.5,5,8.61,0,expert,1002464
210,0.45,1.16,0.05,7,1.5,5,5.31,0,beginner,759434
87,4.51,8.36,6.69,9,1.0,2,7.34,1,exceptional,1070501
214,9.29,5.02,9.73,1,2.0,4,9.14,0,expert,1217911
149,1.65,0.14,6.07,4,1.0,1,7.26,1,beginner,743429
174,3.9,8.03,1.2,5,2.0,1,5.75,1,fluent,845071
338,7.3,9.81,3.21,4,1.5,5,9.93,0,exceptional,1366218
82,8.82,6.06,8.68,2,1.0,1,9.45,1,exceptional,1044170
329,6.71,5.04,2.33,3,2.0,4,8.86,1,exceptional,1147693
204,2.58,8.78,6.08,6,1.5,5,7.06,1,exceptional,1105596
194,6.75,9.53,4.03,3,2.0,4,5.92,0,fluent,1029475
350,2.97,7.55,2.08,8,0.5,1,9.71,1,fluent,1208215
295,7.18,4.45,8.13,10,0.5,5,7.66,1,expert,1295714
78,9.54,5.92,7.43,9,1.5,4,9.26,0,fluent,1180542
125,7.21,7.01,6.62,1,2.0,3,6.71,0,fluent,936088
288,8.63,1.94,2.36,4,0.5,3,6.68,1,exceptional,982381
77,0.02,4.47,0.98,7,1.0,4,9.93,1,fluent,838149
84,7.18,8.3,5.76,4,2.0,4,7.61,1,exceptional,1032146
132,8.3,6.55,5.54,9,2.0,0,5.7,0,beginner,1064484
29,0.41,4.11,1.88,7,0.5,0,6.1,1,beginner,611500
127,8.72,6.63,0.56,7,0.5,2,7.41,0,beginner,929363
220,2.57,1.18,0.81,8,1.5,5,5.21,1,beginner,851978
286,6.65,4.01,9.93,9,2.0,2,7.31,1,beginner,1276009
71,8.0,7.93,7.84,5,1.0,2,7.09,0,beginner,971485
335,6.63,2.21,9.22,3,0.5,1,8.9,1,beginner,1117543
332,0.92,1.86,1.95,10,2.0,3,6.77,0,exceptional,1133520
168,5.96,9.51,9.61,2,0.5,1,9.91,1,exceptional,1131588
293,5.5,2.1,1.43,4,1.5,5,5.9,0,exceptional,904439
148,9.0,2.61,5.09,5,2.0,4,7.95,0,exceptional,1061523
130,4.04,9.7,8.3,2,2.0,0,5.45,1,fluent,892289
182,3.21,7.35,3.5,1,1.5,5,8.67,0,fluent,937549
171,7.5,7.0,4.25,6,1.0,4,9.97,1,expert,1131511
169,4.13,8.53,1.28,10,0.5,5,9.1,0,fluent,1122018
144,6.46,1.16,1.23,4,1.5,4,7.78,0,exceptional,841328
343,6.46,7.06,6.2,8,2.0,0,7.42,0,exceptional,1320625
299,8.88,5.04,6.76,2,1.5,4,9.18,1,beginner,1150304
